sign_id,sign_name,unicode_value,character,character_image,frequency_count,contexts,variants,transliteration,classification,sources
U+18B00,Khitan Large Script Character 18B00,U+18B00,𘬀,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190248'}]"
U+18B01,Khitan Large Script Character 18B01,U+18B01,𘬁,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190260'}]"
U+18B02,Khitan Large Script Character 18B02,U+18B02,𘬂,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190267'}]"
U+18B03,Khitan Large Script Character 18B03,U+18B03,𘬃,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190273'}]"
U+18B04,Khitan Large Script Character 18B04,U+18B04,𘬄,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190283'}]"
U+18B05,Khitan Large Script Character 18B05,U+18B05,𘬅,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190289'}]"
U+18B06,Khitan Large Script Character 18B06,U+18B06,𘬆,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190295'}]"
U+18B07,Khitan Large Script Character 18B07,U+18B07,𘬇,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190301'}]"
U+18B08,Khitan Large Script Character 18B08,U+18B08,𘬈,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190307'}]"
U+18B09,Khitan Large Script Character 18B09,U+18B09,𘬉,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190313'}]"
U+18B0A,Khitan Large Script Character 18B0A,U+18B0A,𘬊,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190319'}]"
U+18B0B,Khitan Large Script Character 18B0B,U+18B0B,𘬋,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190327'}]"
U+18B0C,Khitan Large Script Character 18B0C,U+18B0C,𘬌,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190333'}]"
U+18B0D,Khitan Large Script Character 18B0D,U+18B0D,𘬍,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190339'}]"
U+18B0E,Khitan Large Script Character 18B0E,U+18B0E,𘬎,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190346'}]"
U+18B0F,Khitan Large Script Character 18B0F,U+18B0F,𘬏,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190352'}]"
U+18B10,Khitan Large Script Character 18B10,U+18B10,𘬐,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190358'}]"
U+18B11,Khitan Large Script Character 18B11,U+18B11,𘬑,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190364'}]"
U+18B12,Khitan Large Script Character 18B12,U+18B12,𘬒,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190370'}]"
U+18B13,Khitan Large Script Character 18B13,U+18B13,𘬓,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190376'}]"
U+18B14,Khitan Large Script Character 18B14,U+18B14,𘬔,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190381'}]"
U+18B15,Khitan Large Script Character 18B15,U+18B15,𘬕,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190387'}]"
U+18B16,Khitan Large Script Character 18B16,U+18B16,𘬖,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190393'}]"
U+18B17,Khitan Large Script Character 18B17,U+18B17,𘬗,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190399'}]"
